dimension,dataset,run,true_negative_undetermined_count,true_negative_undetermined_percent_of_all,true_negative_undetermined_percent_within_true_negative,true_positive_undetermined_count,true_positive_undetermined_percent_of_all,true_positive_undetermined_percent_within_true_positive,total_undetermined_count,total_undetermined_percent_of_all
1,1,1,1715,17.150000,34.095427,1612,16.120000,32.434608,3327,33.270000
1,1,2,1639,16.390000,32.584493,1553,15.530000,31.247485,3192,31.920000
1,1,3,3116,31.160000,61.948310,3193,31.930000,64.245473,6309,63.090000
1,2,1,3645,36.450000,72.465209,1675,16.750000,33.702213,5320,53.200000
1,2,2,3383,33.830000,67.256461,1721,17.210000,34.627767,5104,51.040000
1,2,3,1984,19.840000,39.443340,3533,35.330000,71.086519,5517,55.170000
1,3,1,3946,39.460000,78.449304,1559,15.590000,31.368209,5505,55.050000
1,3,2,1797,17.970000,35.725646,3094,30.940000,62.253521,4891,48.910000
1,3,3,3634,36.340000,72.246521,1608,16.080000,32.354125,5242,52.420000
1,4,1,1858,18.580000,36.938370,2814,28.140000,56.619718,4672,46.720000
1,4,2,1816,18.160000,36.103380,1744,17.440000,35.090543,3560,35.600000
1,4,3,3714,37.140000,73.836978,3634,36.340000,73.118712,7348,73.480000
1,5,1,4880,48.800000,97.017893,4811,48.110000,96.800805,9691,96.910000
1,5,2,3428,34.280000,68.151093,3496,34.960000,70.342052,6924,69.240000
1,5,3,3466,34.660000,68.906561,4826,48.260000,97.102616,8292,82.920000
2,1,1,1804,18.040000,35.864811,1636,16.360000,32.917505,3440,34.400000
2,1,2,1900,19.000000,37.773360,4735,47.350000,95.271630,6635,66.350000
2,1,3,1857,18.570000,36.918489,1838,18.380000,36.981891,3695,36.950000
2,2,1,1769,17.690000,35.168986,1633,16.330000,32.857143,3402,34.020000
2,2,2,1714,17.140000,34.075547,1658,16.580000,33.360161,3372,33.720000
2,2,3,1720,17.200000,34.194831,1606,16.060000,32.313883,3326,33.260000
2,3,1,3319,33.190000,65.984095,3152,31.520000,63.420523,6471,64.710000
2,3,2,1804,18.040000,35.864811,1564,15.640000,31.468813,3368,33.680000
2,3,3,1827,18.270000,36.322068,1674,16.740000,33.682093,3501,35.010000
2,4,1,3337,33.370000,66.341948,1567,15.670000,31.529175,4904,49.040000
2,4,2,3379,33.790000,67.176938,1564,15.640000,31.468813,4943,49.430000
2,4,3,3349,33.490000,66.580517,1592,15.920000,32.032193,4941,49.410000
2,5,1,3275,32.750000,65.109344,1726,17.260000,34.728370,5001,50.010000
2,5,2,1836,18.360000,36.500994,1721,17.210000,34.627767,3557,35.570000
2,5,3,1845,18.450000,36.679920,1725,17.250000,34.708249,3570,35.700000
3,1,1,1852,18.520000,36.819085,1801,18.010000,36.237425,3653,36.530000
3,1,2,2505,25.050000,49.801193,1872,18.720000,37.665996,4377,43.770000
3,1,3,1963,19.630000,39.025845,4745,47.450000,95.472837,6708,67.080000
3,2,1,1913,19.130000,38.031809,1825,18.250000,36.720322,3738,37.380000
3,2,2,1999,19.990000,39.741551,1844,18.440000,37.102616,3843,38.430000
3,2,3,2000,20.000000,39.761431,1865,18.650000,37.525151,3865,38.650000
3,3,1,1873,18.730000,37.236581,1828,18.280000,36.780684,3701,37.010000
3,3,2,1940,19.400000,38.568588,1885,18.850000,37.927565,3825,38.250000
3,3,3,1964,19.640000,39.045726,1871,18.710000,37.645875,3835,38.350000
3,4,1,1809,18.090000,35.964215,1682,16.820000,33.843058,3491,34.910000
3,4,2,1930,19.300000,38.369781,1824,18.240000,36.700201,3754,37.540000
3,4,3,1950,19.500000,38.767396,1840,18.400000,37.022133,3790,37.900000
3,5,1,1825,18.250000,36.282306,1749,17.490000,35.191147,3574,35.740000
3,5,2,1904,19.040000,37.852883,1867,18.670000,37.565392,3771,37.710000
3,5,3,1925,19.250000,38.270378,1880,18.800000,37.826962,3805,38.050000
