dimension,dataset,run,old_combined_correct_percentage,completed_combined_correct_percentage,completed_outside_both_percentage,completed_misclassified_negative_percentage,completed_misclassified_positive_percentage,completed_correct_negative_percentage,completed_correct_positive_percentage,run_directory
1,1,1,80.64105825489698,65.78,33.27,0.58,0.37,32.78,33.0,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_1/analysis_attempt_001/by_run/run_001_seed_00_lr3e3_e4000
1,1,2,81.22615110658865,66.96000000000001,31.92,0.59,0.53,33.38,33.58,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_1/analysis_attempt_001/by_run/run_002_seed_01_lr3e3_e4000
1,1,3,45.98066649707454,36.53,63.09,0.21,0.17,18.97,17.56,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_1/analysis_attempt_001/by_run/run_003_seed_02_lr3e3_e4000
1,2,1,57.8987534978377,46.370000000000005,53.2,0.06,0.37,13.48,32.89,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_2/analysis_attempt_001/by_run/run_001_seed_00_lr3e3_e4000
1,2,2,58.91630628338845,48.17,51.04,0.28,0.51,15.96,32.21,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_2/analysis_attempt_001/by_run/run_002_seed_01_lr3e3_e4000
1,2,3,54.718901042991604,44.3,55.17,0.33,0.2,30.26,14.04,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_2/analysis_attempt_001/by_run/run_003_seed_02_lr3e3_e4000
1,3,1,54.515390485881454,44.260000000000005,55.05,0.02,0.67,10.17,34.09,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_3/analysis_attempt_001/by_run/run_001_seed_00_lr3e3_e4000
1,3,2,60.22640549478504,49.980000000000004,48.91,0.7,0.41,31.92,18.06,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_3/analysis_attempt_001/by_run/run_002_seed_01_lr3e3_e4000
1,3,3,57.4917323836174,46.9,52.42,0.08,0.6,13.36,33.54,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_3/analysis_attempt_001/by_run/run_003_seed_02_lr3e3_e4000
1,4,1,65.89926227423048,52.81,46.72,0.28,0.19,31.53,21.28,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_4/analysis_attempt_001/by_run/run_001_seed_00_lr3e3_e4000
1,4,2,78.41516153650471,63.599999999999994,35.6,0.45,0.35,31.79,31.81,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_4/analysis_attempt_001/by_run/run_002_seed_01_lr3e3_e4000
1,4,3,32.02747392520987,26.240000000000002,73.48,0.19,0.09,13.07,13.17,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_4/analysis_attempt_001/by_run/run_003_seed_02_lr3e3_e4000
1,5,1,3.777664716357161,3.02,96.91,0.05,0.02,1.48,1.54,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_5/analysis_attempt_001/by_run/run_001_seed_00_lr3e3_e4000
1,5,2,38.60340880183159,30.54,69.24,0.2,0.02,16.0,14.54,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_5/analysis_attempt_001/by_run/run_002_seed_01_lr3e3_e4000
1,5,3,21.330450267107608,16.83,82.92,0.21,0.04,15.6,1.23,code/output/chafee_d1_matched_d2_archive_5x3_roa_v1/dataset_5/analysis_attempt_001/by_run/run_003_seed_02_lr3e3_e4000
2,1,1,82.34545917069448,65.16,34.4,0.27,0.17,32.09,33.07,code/output/chafee_d2_archive_5x3_roa_v1/dataset_1/trial_1
2,1,2,42.48282879674383,33.59,66.35,0.06,0.0,31.3,2.29,code/output/chafee_d2_archive_5x3_roa_v1/dataset_1/trial_2
2,1,3,79.77613838717883,62.96,36.95,0.06,0.03,31.7,31.26,code/output/chafee_d2_archive_5x3_roa_v1/dataset_1/trial_3
2,2,1,83.10862375985755,65.78,34.02,0.07,0.13,32.48,33.3,code/output/chafee_d2_archive_5x3_roa_v1/dataset_2/trial_1
2,2,2,83.41388959552276,66.0,33.72,0.05,0.23,32.93,33.07,code/output/chafee_d2_archive_5x3_roa_v1/dataset_2/trial_2
2,2,3,83.9608242177563,66.44,33.26,0.07,0.23,32.87,33.57,code/output/chafee_d2_archive_5x3_roa_v1/dataset_2/trial_3
2,3,1,44.721444924955485,35.25,64.71,0.0,0.04,17.07,18.18,code/output/chafee_d2_archive_5x3_roa_v1/dataset_3/trial_1
2,3,2,82.56168913762401,65.75,33.68,0.24,0.33,31.93,33.82,code/output/chafee_d2_archive_5x3_roa_v1/dataset_3/trial_2
2,3,3,81.70948867972527,64.69,35.01,0.09,0.21,31.82,32.87,code/output/chafee_d2_archive_5x3_roa_v1/dataset_3/trial_3
2,4,1,63.07555329432715,50.3,49.04,0.29,0.37,16.56,33.74,code/output/chafee_d2_archive_5x3_roa_v1/dataset_4/trial_1
2,4,2,62.808445688120074,50.0,49.43,0.23,0.34,16.17,33.83,code/output/chafee_d2_archive_5x3_roa_v1/dataset_4/trial_2
2,4,3,63.40625794963114,50.31,49.41,0.0,0.28,16.53,33.78,code/output/chafee_d2_archive_5x3_roa_v1/dataset_4/trial_3
2,5,1,62.14703637751208,49.35,50.01,0.01,0.63,16.92,32.43,code/output/chafee_d2_archive_5x3_roa_v1/dataset_5/trial_1
2,5,2,81.50597812261512,64.28,35.57,0.06,0.09,31.85,32.43,code/output/chafee_d2_archive_5x3_roa_v1/dataset_5/trial_2
2,5,3,81.26430933604681,64.02,35.7,0.06,0.22,31.63,32.39,code/output/chafee_d2_archive_5x3_roa_v1/dataset_5/trial_3
3,1,1,80.04324599338591,63.09,36.53,0.06,0.32,31.46,31.63,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_01_seed_00_lr3e3_e4000/attempts/attempt_001
3,1,2,71.22869498855252,56.08,43.77,0.0,0.15,25.1,30.98,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_01_seed_01_lr3e3_e4000/attempts/attempt_001
3,1,3,41.77054184685831,32.910000000000004,67.08,0.01,0.0,30.67,2.24,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_01_seed_02_lr3e3_e4000/attempts/attempt_001
3,2,1,79.26736199440347,62.54,37.38,0.07,0.01,31.16,31.38,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_02_seed_00_lr3e3_e4000/attempts/attempt_001
3,2,2,78.00814042228441,61.55,38.43,0.01,0.01,30.3,31.25,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_02_seed_01_lr3e3_e4000/attempts/attempt_001
3,2,3,77.75375222589672,61.31,38.65,0.02,0.02,30.28,31.03,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_02_seed_02_lr3e3_e4000/attempts/attempt_001
3,3,1,79.78885779699822,62.93,37.01,0.06,0.0,31.57,31.36,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_03_seed_00_lr3e3_e4000/attempts/attempt_001
3,3,2,78.38972271686595,61.75,38.25,0.0,0.0,30.9,30.85,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_03_seed_01_lr3e3_e4000/attempts/attempt_001
3,3,3,78.24980920885271,61.65,38.35,0.0,0.0,30.66,30.99,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_03_seed_02_lr3e3_e4000/attempts/attempt_001
3,4,1,82.45993385906894,65.07,34.91,0.01,0.01,32.2,32.87,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_04_seed_00_lr3e3_e4000/attempts/attempt_001
3,4,2,79.17832612566778,62.43,37.54,0.01,0.02,30.98,31.45,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_04_seed_01_lr3e3_e4000/attempts/attempt_001
3,4,3,78.63139150343424,62.06,37.9,0.01,0.03,30.77,31.29,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_04_seed_02_lr3e3_e4000/attempts/attempt_001
3,5,1,81.32790638514373,64.16999999999999,35.74,0.05,0.04,32.01,32.16,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_05_seed_00_lr3e3_e4000/attempts/attempt_001
3,5,2,78.92393792928007,62.21,37.71,0.02,0.06,31.2,31.01,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_05_seed_01_lr3e3_e4000/attempts/attempt_001
3,5,3,78.37700330704655,61.89,38.05,0.01,0.05,31.0,30.89,code/output/chafee_d3_matched_d2_archive_5x3_ondemand_v2/runs/dataset_05_seed_02_lr3e3_e4000/attempts/attempt_001
